sentence,cluster_label,dim1,dim2
"The founding of the City of Manila by uniting the dominions of Sulayman III of Namayan, Sabag, Rajah Ache ""Matanda"" of Maynila who was a vassal to the Sultan of Brunei, and Lakan Dula of Tondo who was a tributary to Ming Dynasty China – caused the establishment of Manila on February 6, 1579, through the Papal bull ""Illius Fulti Præsidio"" by Pope Gregory XIII, encompassing all Spanish colonies in Asia as a suffragan of the Archdiocese of Mexico.
",1,4.302859,-2.8328857
"Other stage performances include David Schulner's ""An Infinite Ache"" in New Haven, Connecticut and as part of ""Shinsai: Theaters for Japan"", a benefit production performing ""Four Black Dragons"" and ""Next"" from ""Pacific Overtures"" by Stephen Sondheim and John Weidman.
",1,4.0189204,-2.8717327
"Then Slane starts complaining of a stomach ache – he ate a meal with the indigenous natives on the planet Malvis while he was there yesterday.
",0,-6.0295553,-1.7907231
"Arriving in 2009, Mads Langer features “Fact – Fiction”: a platinum single that wholly embodies his sensibilities in its quietly intense vocal delivery, mesmerizing melodies, and storytelling that captures the precise ache of loneliness.
",0,-4.605239,-0.8070109
"Diazinon functions as an acetylcholinesterase (AChE) inhibitor.
",4,2.2698166,7.9842825
"AChE (acetylcholinesterase) inhibitors or anti-cholinesterases inhibit the enzyme cholinesterase from breaking down ACh, increasing both the level and duration of the neurotransmitter action.
",4,1.5173361,7.267309
"Michael Smith of Drum Media, said that ""tonally White is closer to the glistening dulcet tones of local pop diva Abby Dobson than the edgy growl of the classic soul queens, but that merely adds an evocative ache to songs like Revolution.""
",0,-4.23971,-0.9288251
"Withdrawal symptoms are generally mild - loss of appetite, insomnia, feelings of uneasiness/anxiety, tension, stomach ache, headache and irritability all being common symptoms.
",0,-5.888663,-1.1248708
"""Seven Year Ache"" was Cash's fourth-issued single and her first single released in 1981.
",1,5.0611515,-3.6564667
"After the now around wide Brixentaler Ache has flowed through Wörgl, it discharges from the south into the Inn.
",1,6.295725,-2.1997232
"In mammals, acetylcholinesterase is encoded by a single AChE gene while some invertebrates have multiple acetylcholinesterase genes.
",4,1.6165532,8.540257
"The relevant part of the text read: ""...declaracion llamarse Raha Ache el Viejo y Raha Solimane el Mozo, senores y principales del pueblo de Manila, y"" Sibunao Lacandola, principal del pueblo de Tondo...(emphasis added)
",1,4.7503037,-2.2025104
"A large number of AChE inhibitors are used in both medicine and agriculture.
",4,1.3342865,8.235658
"Common tormentil, ""P. erecta"", was known as ""tormentilla"" in medieval Latin, derived from early Spanish – literally ""a little torment"", meaning pain that, while not debilitating, is unpleasant and persistent (such as a stomach ache, against which ""P. erecta"" was used).
",0,-5.386958,-1.0135223
"From the lake, the Königsseer Ache creek runs down to Berchtesgaden.
",1,5.2381673,-1.8322613
"The antidote for curare poisoning is an acetylcholinesterase (AChE) inhibitor (anti-cholinesterase), such as physostigmine or neostigmine.
",4,2.3831315,8.370023
"Ache releases music for both Canadian and foreign acts.
",2,2.4351175,1.8896303
"A congenital abnormality caused by a deficiency in end-plate acetylcholine esterase (AChE) might be a pathophysiologic mechanism for myasthenic gravis.
",4,1.7987219,8.617016
"In addition, taraxerol can inhibit acetylcholinesterase (AChE) activity in rat's hippocampus.
",4,2.341832,8.6934
"The idea to weave a story around the next generation came from a line from the introductory song 'Mora dujonai rajar jamai in 'Hirak Rajar Deshe' — ""aar ache polapan, ek khan ek khan... (we have one child each)"".
",0,-2.703345,-0.050075024
"Instead he focused his efforts on his record label, Ache Records, and his solo music project, now called Secret Mommy.
",1,3.170859,-1.7143275
"Inhibition of these two enzymes causes markedly increased levels of both anandamide and 2-AG in the brain, resulting in increased cannabinoid signalling and typical cannabinoid behavioral effects in animal studies, while its lack of potency at AChE means that no cholinergic symptoms are produced.
",4,1.0486789,8.044286
"However, the 'pit neck ache' didn't matter since he was 100% engrossed in the music and loved every minute of it playing two houses every night except Sunday for £1-15s–0d.
",0,-4.998918,-1.0427765
"""Dummy Ache"" was preserved by the Academy Film Archive and the Library of Congress in 2013.
",1,4.3715596,-3.085645
"His 1936 film ""Dummy Ache"" was nominated for an Academy Award in 1936 for Best Short Subject (Two-Reel).
",1,4.705195,-3.221656
"Corliss continued, ""One wonders why this Burton film is so dishwatery, why it lacks the cartoon zest and outsider ache of ""Beetlejuice"", ""Edward Scissorhands"" or ""Batman Returns"".""
",0,-4.311063,-0.17906061
"These events, and the details Ache's interrogation were recorded in accounts of Magellan and Elcano's men, including expedition members Rodrigo de Aganduru Moriz, Gines de Mafra, and the expedition's scribe Antonio Pigafetta.
",1,3.0835946,-1.8326142
"In its lower reaches - between Westendorf and Hopfgarten - the Ache flows through a narrow gorge, through which only the ""Bundesstraße"" snakes - the railway line branches away in the so-called Windau bend.
",1,5.4135594,-1.6870915
