sentence,cluster_label,dim1,dim2
"Lastly, men high in hostile sexism are more likely to rape women, whereas men that are high in benevolent sexism are more likely to blame a victim of rape for the attack.
",2,1.0920551,-2.3802018
"Spike is quick to blame the Slayer for his misfortune.
",2,1.0996253,-1.6215229
"The deputy premier, Robert Fordham, took some of the blame and resigned.
",1,-1.4911364,1.5881863
"A coroner's jury declared his second-mate, Mr. Budge, to be incompetent, and his crew to be of principal blame.
",1,-1.1535928,0.60042876
"He consequently received much of the blame for the initial setbacks in Korea and the widespread reports of ill-equipped and inadequately trained US military forces in the war's early stages.
",1,-2.4075034,1.449858
"That our compassion is more compelling than our need to blame.""
",2,-0.8138658,-0.6285619
"While most opponents of the wage system blame the capitalist owners of the means of production for its existence, most anarchists and other libertarian socialists also hold the state as equally responsible as it exists as a tool utilised by capitalists to subsidise themselves and protect the institution of private ownership of the means of production.
",2,1.9884493,-2.2435777
"This means that teachers blame students, their culture, or their families for students' poor performance or misbehavior in school.
",2,1.8208281,-2.6772623
"Jöran Persson was assigned much of the blame for the actions directed against the nobility during Eric XIV's reign and was executed shortly after John III had incarcerated Eric, who was legally dethroned in January 1569 by the Riksdag.
",1,-1.8774555,1.2400935
"During this time, neighbor Mrs. Schumacher sees Ronald and dies of a heart attack from the shock; fearing the police will blame him, Ronald buries her too.
",2,0.12394504,-0.6826175
"However, a six-page report by Younis was later leaked by the PCB to the media where he was shown to be pointing much of the blame onto Afridi.
",1,-1.6037234,2.573311
"Bonatti was given the blame for Mehdi's hospitalisation.
",1,-2.4291234,1.7775515
"One of the most infamous antisemitic tractates was the Russian Okhrana literary hoax, ""The Protocols of the Elders of Zion"", created in order to blame the Jews for Russia's problems during the period of revolutionary activity.
",2,1.2712013,-2.4505422
"People who generally tend to blame themselves for negative events, believe that such events will continue indefinitely, and let such events affect many aspects of their lives display what is called a ""pessimistic explanatory style"".
",2,1.0590076,-2.9813073
"On 5 March 2010, the local Coroner found that the dispensing error made by Lee was not to blame for Sheller's death.
",2,-1.0954633,-4.109868
"A comment on the Disney blog placed the blame for the situation on the Bahamian government, stating that If Bahamians want to protect their lands they should focus efforts on their own government.
",1,-2.3513255,1.4808412
"Some blame his immigration to the US on a failed bid to locate a production base in Ningbo.
",2,2.3175182,-2.9685893
"Responsibility does not require that behavior be uncaused, as long as behavior responds to praise and blame.
",1,-0.914017,1.6524293
"Later, after Xu seized the Wu throne and established Southern Tang as its emperor, he continued friendly relations with Liao, but on one occasion decided to assassinate the Liao emissary once the Liao emissary crossed into Later Jin territory, hoping to blame Later Jin for the assassination and disrupt Liao and Later Jin relations.
",2,1.6299664,-1.9816045
"Third, that historians eager to jump on the bandwagon of Lincoln as America's greatest political icon worked to outdo one another in shifting blame for early military failures from Lincoln and Secretary of War Edwin M. Stanton to McClellan.
",1,-2.1045318,0.67151576
"Michael Douglas publicly assumed blame for ""being a bad father"" but said that without prison intervention, Cameron ""was going to be dead or somebody was gonna kill him.
",1,-1.0548912,0.76002103
"There is no dispute that illegal naked shorting happens; what is in dispute is how much it happens, and to what extent is DTCC to blame.
",2,-1.1752453,-1.3916134
"In the village, Shahbaz plans the explosion of the warehouse while Rizwan plans to put Zara and Kabeer inside the warehouse so that Shahbaz gets the blame for their death.
",1,-2.511732,1.533294
"Norman, Dennis, and Polly suspect Grainger is to blame.
",2,-0.04798624,-1.5068828
"Strange Culture again was about misidentity, where the media created a fictional character that they blame this crime on, rather than the actual person.
",2,0.7412339,-1.7456986
"Initial reports suggested the culprit was a bronze whaler, but it was later deemed more likely a great white was to blame.
",2,-0.019898886,-2.1484902
"Facebook later released a statement saying its own engineers were to blame, and that the disruption to its services was not the result of a third-party attack, but instead occurred after they introduced a change that affected their configuration systems.
",2,-0.858628,-3.462176
"They are ineffective in achieving their own long-term goals and can be spiritually harmful to the young innocents who blame themselves for delaying the Second Advent.""
",2,0.83321804,-2.9064476
"In ""The New York Times"", however, Joseph Finder asserted that Corn seriously distorted history to blame Shackley for a series of institutional CIA failings and pointed out a series of serious errors in the book.
",2,1.5159472,-2.9026003
"They seek to please their political superiors in the short term and shift blame down the line.
",1,-0.5846295,2.347958
"According to Robert S. Wistrich, both Hamas and Hezbollah routinely blame ""the world banking crisis on the Jews who supposedly control the American government and economy"".
",2,1.2636583,-3.4649565
"Louise blames Jordan Johnson (Michael-Joel David Stuart), an acquaintance of Ben's, but when Phil sees burn marks on Louise's arm, she reveals that Ben is to blame.
",2,0.06431634,-2.7018278
"As reported in a May 23, 2006 story in The Courier-Journal, ""Investigator thinks methane to blame for Darby mine explosion,"" by Deborah Yetter and Tom Loftus, at a news conference in Holmes Mill, Kentucky on May 22, 2006, Chuck Wolfe, spokesman for Kentucky's ""Environmental and Public Protection Cabinet"" announced that investigators entered the mine for the first time since the explosion on May 22.
",2,-1.0834205,-1.1531847
"The 656-page document, dated July 1993, is available through a website of the Washington, DC-based Police Foundation, which prefaces the report with a disclaimer that the ""review does not seek to put blame on any entity for what happened...""
",1,-1.9977729,0.32193613
"These two sonnets in turn are part of the group of four sonnets, 100–103, wherein the poet-speaker deflects blame for his silence from himself onto the Muse, making excuses for having not written or if writing, not writing adequately.
",1,-1.5292727,1.202952
"Instead, Quiggin lays the blame for the 2008 near-meltdown on financial markets, on political decisions to lightly regulate them, and on rating agencies which had self-interested incentives to give good ratings.
",1,-3.4452107,0.5849201
"His former assistant was Tsutomu Nihei, who went to create the manga ""BLAME!"".
",0,6.098987,3.8286598
"The Chief Investigator had responsibility for no blame or just culture investigations and inquiries in those areas.
",1,-0.77553695,3.0292351
"Spencer refused to blame the defeat on a dose of flu from which he had been suffering (and Mans did indeed defeat Spencer again in the 1978 event).
",2,1.0889877,-2.115596
"The Chief Investigator, Transport Safety is also the no blame or just culture safety investigator of the commercial shipping and recreational boating sectors in Victoria.
",1,-0.25746092,2.5876076
"Theories on the origin of the violence include rivalry between military chief General Wiranto and Army Strategic Commander Lt. Gen. Prabowo Subianto, and the suggestion of deliberate provocation by Suharto to divert blame for the crisis to the ethnic-Chinese and discredit the student movement.
",1,-1.5674317,1.6272075
"The queen is said to have cast upon Thirlby the entire blame of the eventual loss of Calais.
",1,-1.2294616,1.4882265
"Aiden's plans, however, are waylaid with various troubles that include Suren questioning Cecilia's disappearance and Atlee investigating what became of Heggeman, the former revealed to be the work of Brynn and Connor McLean who Aidan decides to blame for Heggeman's death.
",2,0.64813095,-3.3005793
"If he had wanted ""to linger with this phrase or that, or in some way to draw the greatness of this music into line with his own feeling for music's greatness"", it would not be appropriate to blame him.
",2,0.38542497,-1.7821554
"Many blame the elders as they do not take proper measures to ensure the language's existence by teaching their young ones from an early onset.
",2,1.5558598,-1.5307839
"The Reagan administration attributed the blame to Iran for its alleged belligerence in the underlying conflict.
",1,-1.7422229,2.2190313
"When Alicia refuses, Andrea and Robert lash out and blame Sam for ruining Alicia's life.
",2,2.5909297,-2.8898022
"The ""Mirror"" went more in-depth into the plot by stating that Tom commits suicide with the intention of placing the blame of his death on Jack.
",1,-2.172052,1.6944497
"Despite an early positive response (with the animation in particular receiving heavy praise from critics), the series failed to make any real impact and viewing figures slowly declined after the first episode, with blame falling on a relatively dark and complicated storyline considering the show was aimed at 6-12 year olds.
",1,-0.83772874,1.9964235
"At trial, she decided to turn the screw and blame Jim, claiming she was acting in self defence.
",2,0.6531251,-0.7355727
"At the church is the grave of Joshua Scamp who, to protect his daughter, took the blame for his son-in-law's theft of a horse, and was hanged.
",1,-2.591113,1.5491195
"Ford and Caroline both blame Twister for Deborah's death.
",2,2.2173758,-2.3110251
"Alex's wife was found dead after a few days of marriage and they all blame it on Lakshmanan.
",2,1.1994022,-1.607388
