sentence,sense_labels,dim1,dim2
"Neither power lines nor cellphone signals are to blame for the electromagnetic field effect on the birds; instead, the culprits have frequencies between 2 kHz and 5 MHz.
",2,-1.3619126,-1.9403963
"Instead of running in terror, Kyle faces his fear and fight off the dinosaur with red balloons he found after Lemoncello tells him not to blame himself for his idea, but embrace it as his own and defeat it using his bravery.
",2,-0.0913029,-3.7262645
"Musa Abu Marzouk put the blame for the escalation on the Israelis: ""We were against targeting civilians ... After the Hebron massacre we determined that it was time to kill Israel's civilians ... we offered to stop if Israel would, but they rejected that offer.""
",1,-2.7714224,1.6399124
"A defensive attribution may also be used to protect the person's self-esteem if, despite everything, the mishap does occur, because blame can be assigned to the ""other"" (person or situation).
",1,-1.1050366,1.7433251
"Janet Martin and Gail Lenhoff have recently argued that Boretskaya was scapegoated, probably by Archbishop Feofil (r. 1470–1480) in order to shift the blame from him for his betrayal of the terms of the Treaty of Yazhelbitsy, which forbade Novgorod from conducting foreign affairs without grand princely approval.
",1,-1.9962409,1.529548
"At the same time, eco-socialists would blame the traditional left for overlooking or not properly addressing ecological problems.
",2,0.38030818,-4.309614
"With the chance for an annulment lost, Cardinal Wolsey bore the blame.
",1,-1.4671402,1.918925
"Callixenus was an Athenian politician who aggressively prosecuted those held to be to blame for the disaster at the Battle of Arginusae in 406 BC.
",2,-0.91706675,-1.7568818
"As far as the blame laid on the abbot is concerned it is worth mentioning, that he make no use of a papal privilege whereby the Pope had subordinated the abbots of Fulda to himself in 999 so that only the Pope could decide to remove the abbot.
",1,-1.5426416,2.0257232
"The ""mens rea"" of ""calunnia"" requires awareness and a willingness to blame someone of a crime that the accused knows is innocent.
",2,-0.24042682,-1.4062663
"However, as his essence was replaced within the Robotix by Venturak, he sabotages the turbo flow generator and pins the blame on Bront when the generator threatens to explode and destroy the entire city.
",1,-1.9169668,3.033115
"One of the most infamous antisemitic tractates was the Russian Okhrana literary hoax, ""The Protocols of the Elders of Zion"", created in order to blame the Jews for Russia's problems during the period of revolutionary activity.
",2,0.3066639,-3.211059
"Douglas was Episcopalian and Rose was Methodist, and their fellow churchmen joined in a bitter public debate over who was to blame.
",2,-0.9285691,-1.6123868
"However, Jimmy makes a mistake at work one day and pushes the blame on to Ella to save himself.
",1,-2.0258188,3.4686077
"Kim takes the blame and leaves the village but Liam threatens Maxine, Grace and Simone telling them that he will find out the truth.
",1,-1.3534577,2.8716846
"The goddess Iðunn interrupts, asking Bragi, as a service to his relatives and adopted relatives, not to say words of blame to Loki in Ægir's hall.
",1,-0.8374774,1.3747863
"Some German media blame conservative nationalists in the Law and Justice for having used her as a hate figure in internal politics to counter Donald Tusk ignoring Steinbach's real views.
",2,1.6629032,-3.4339395
